Name,MPA.Group,Region,Study.Region,Full.name,island.mainland,Pairedsmr.smca,Area_sq_mi,Area_km2,Acres,Hectares,Cluster,Cluster.Area_km2,N.latitudeDD,S.latitudeDD,Median Latitude ,Paired.latitude,Nearest Port,Distance.km,Implemented,Time.imp,OffshoreRock_km,Hard_30-100m_km2,PortComplex,Landings_n,anglers_n
Point Buchon SMR,Point Buchon,Central,CCSR,Point Buchon State Marine Reserve,Mainland,Paired,6.68,17.30112,4277.84,1731.18,Cluster,48.873075,35.254167,35.183333,35.21875,35.21875,Morro Bay,20.13,2007,14,2.05,1.22,Avila Beach-Morro Bay,175808.4,20167.95
Point Buchon SMCA,NA,Central,CCSR,Point Buchon State Marine Conservation Area,Mainland,Paired,12.19,31.571955,7801.22,3157.04,Cluster,48.873075,35.254167,35.183333,35.21875,35.21875,Morro Bay,20.13,2007,14,0,0.78,Avila Beach-Morro Bay,175808.4,20167.95
Point Conception SMR,Point Conception,South,SCSR,Point Conception State Marine Reserve,Mainland,Solitary,22.52,58.326532,14415.06,5833.57,Single,58.326532,34.45,34.39935,34.424675,34.424675,Santa Barbara,52.48,,,,,Port Hueneme-Oxnard-Ventura-Santa Barbara,402419.6,53408.3
Carrington Point SMR,Carrington Point,South,SCSR,Carrington Point State Marine Reserve,Island,Solitary,12.78,33.100048,8179.18,3310,Single,33.100048,34.066667,34.008333,34.0375,34.0375,Santa Barbara,52.48,2003,18,0,1.69,Port Hueneme-Oxnard-Ventura-Santa Barbara,402419.6,53408.3
Anacapa Island SMCA,Anacapa Island,South,SCSR,Anacapa Island State Marine Conservation Area,Island,Paired,7.3,18.9069,4673.13,1891.15,Cluster,48.821263,34.0833,34.00685,34.045075,34.045075,Ventura,27.94,2003,18,0,0,Port Hueneme-Oxnard-Ventura-Santa Barbara,402419.6,53408.3
Anacapa Island SMR,NA,South,SCSR,Anacapa Island State Marine Reserve,Island,Paired,11.55,29.914363,7389.21,2990.31,Cluster,48.821263,34.0833,34.00685,34.045075,34.045075,Ventura,27.94,2003,18,0,0,Port Hueneme-Oxnard-Ventura-Santa Barbara,402419.6,53408.3
Laguna Beach SMR,Laguna Beach,South,SCSR,Laguna Beach State Marine Reserve,Mainland,Paired,6.72,17.40472,4297.83,1739.27,Cluster,25.407783,33.553733,33.503517,33.528625,33.527283,,,,,,,,,
Laguna Beach SMCA (No-Take),NA,South,SCSR,Laguna Beach State Marine Conservation Area,Mainland,Paired,3.09,8.003063,1978.67,800.74,Cluster,25.407783,33.511883,33.500833,33.506358,33.527283,,,,,,,,,
Swami's SMCA,Swamis,South,SCSR,Swami's State Marine Conservation Area,Mainland,Solitary,12.71,58.326532,8133.11,3291.35,Single,58.326532,33.049833,33,33.024917,33.024917,Oceanside,22.33,2012,9,0,0.19,Oceanside-Dana Harbor,148971.3,53690.75
South La Jolla SMR,South La Jolla,South,SCSR,South La Jolla State Marine Reserve,Mainland,Paired,5.04,33.100048,3227.99,1306.32,Cluster,39.471419,32.826217,32.799083,32.81265,32.81265,Quivira Basin (San Diego),10.27,2012,9,0.62,0.94,San Diego-Mission Bay,503503.85,124017.3
South La Jolla SMCA,NA,South,SCSR,South La Jolla State Marine Conservation Area,Mainland,Paired,2.46,6.371371,1574.17,637.04,Cluster,39.471419,32.826217,32.799083,32.81265,32.81265,Quivira Basin (San Diego),10.27,2012,9,0,1.56,San Diego-Mission Bay,503503.85,124017.3
,Farallon Islands,North,NCSR,SE Farallon Island SMR,,Paired,,,,,,,,,,,,,,,,,,,
,Trinidad,North,NCSR,,,Solitary,,,,,,,,,,,,,,,,,,,
